,datetime,et,p,t,obs
0,1981-01-01,0.00040497936,0.0035355974,-0.2508163,670.0
1,1981-01-02,0.00047179507,0.0033785983,2.1723855,647.0
2,1981-01-03,0.0005762111,0.017351951,5.165919,727.0
3,1981-01-04,0.00044269944,0.022733811,1.0196867,1363.0
4,1981-01-05,0.0003640502,0.0051952917,-2.0553913,1202.0
5,1981-01-06,0.00035987108,0.014255202,-2.2185044,1026.0
6,1981-01-07,0.00028169254,0.0017078385,-6.3664584,998.0
7,1981-01-08,0.00022127258,0.0,-10.7318325,950.0
8,1981-01-09,0.00024293065,4.4272132e-05,-8.999503,904.0
9,1981-01-10,0.0002948499,0.0008673464,-5.6465535,873.0
10,1981-01-11,0.00028902074,0.0,-5.925995,857.0
11,1981-01-12,0.0002992593,0.0023717612,-5.499934,813.0
12,1981-01-13,0.00031192877,0.0030722518,-4.7690654,756.0
13,1981-01-14,0.0003622558,0.01378513,-2.2989745,744.0
14,1981-01-15,0.00038570454,0.007162299,-1.4850451,860.0
15,1981-01-16,0.0003891983,0.007247581,-1.3167936,928.0
16,1981-01-17,0.0004623774,0.0070995055,1.1992297,888.0
17,1981-01-18,0.00044430298,0.006114523,0.55621624,925.0
18,1981-01-19,0.00044606425,0.015268874,0.61826974,917.0
19,1981-01-20,0.00038533844,0.006933111,-1.7315307,1112.0
20,1981-01-21,0.00031233623,0.0,-5.248805,1019.0
21,1981-01-22,0.00028443232,0.0,-7.0525737,964.0
22,1981-01-23,0.00027259925,0.0,-7.822627,902.0
23,1981-01-24,0.00032389702,0.0,-4.87956,859.0
24,1981-01-25,0.00040985993,0.0014189665,-1.034445,804.0
25,1981-01-26,0.00042196357,0.00011483146,-0.63015133,772.0
26,1981-01-27,0.00034365576,0.0,-3.9723012,722.0
27,1981-01-28,0.00031573954,0.0,-5.502506,708.0
28,1981-01-29,0.00030717606,0.0,-6.0477104,717.0
29,1981-01-30,0.0003239061,0.0,-5.3117466,681.0
30,1981-01-31,0.00034336888,0.0,-4.438149,655.0
31,1981-02-01,0.0005371204,0.0,-4.472058,630.0
32,1981-02-02,0.00053135253,0.0,-4.663249,621.0
33,1981-02-03,0.00074871426,0.0076828487,0.6860018,619.0
34,1981-02-04,0.00070975523,0.010347943,-0.20886837,912.0
35,1981-02-05,0.00063934125,0.0063569252,-1.8227454,904.0
36,1981-02-06,0.00081157667,0.0077465647,1.6952245,840.0
37,1981-02-07,0.0009713401,0.00033795324,4.279808,835.0
38,1981-02-08,0.0009054573,0.0,3.162484,1030.0
39,1981-02-09,0.00094911526,0.0004150615,3.8293781,1069.0
40,1981-02-10,0.0007703938,0.0036154813,0.5983987,1001.0
41,1981-02-11,0.00062336196,0.0,-2.635419,993.0
42,1981-02-12,0.0004829331,0.0,-6.6528683,933.0
43,1981-02-13,0.00045246424,0.0,-7.769874,877.0
44,1981-02-14,0.00050739245,0.0,-6.0079207,824.0
45,1981-02-15,0.0005430649,0.0,-5.008398,793.0
46,1981-02-16,0.00057951786,0.0,-4.089202,782.0
47,1981-02-17,0.00057117234,0.0,-4.3617706,724.0
48,1981-02-18,0.00055302354,0.0,-4.895417,739.0
49,1981-02-19,0.0005321728,0.0,-5.5653243,704.0
50,1981-02-20,0.0005471168,0.0,-5.1906343,693.0
51,1981-02-21,0.00056876993,0.0,-4.648814,659.0
52,1981-02-22,0.0005925951,0.0,-4.1210175,652.0
53,1981-02-23,0.00064439623,0.0,-2.877658,630.0
54,1981-02-24,0.0007057565,0.0,-1.5731872,633.0
55,1981-02-25,0.0007376929,0.0,-0.98395216,614.0
56,1981-02-26,0.0007380938,0.0,-1.0949993,594.0
57,1981-02-27,0.00078854925,0.0011944829,-0.12937327,591.0
58,1981-02-28,0.0008261801,0.0072140805,0.5635621,587.0
59,1981-03-01,0.0007383833,0.0033217587,0.19071732,608.0
60,1981-03-02,0.00086976355,0.007935877,2.4949245,611.0
61,1981-03-03,0.0008546375,0.01735568,2.1972256,766.0
62,1981-03-04,0.0007674888,0.0029952584,0.6074702,871.0
63,1981-03-05,0.00079114723,0.0,0.9107395,835.0
64,1981-03-06,0.0009567229,0.00071444653,3.6768754,821.0
65,1981-03-07,0.0010672286,0.0,5.4880934,892.0
66,1981-03-08,0.0010471327,0.0054620556,4.954293,1044.0
67,1981-03-09,0.0011663402,0.00078973884,6.8203797,1463.0
68,1981-03-10,0.0012653653,0.0007227559,8.198499,1678.0
69,1981-03-11,0.0013806906,0.011530051,9.567984,1789.0
70,1981-03-12,0.0011514149,0.02662324,6.4593263,2205.0
71,1981-03-13,0.0010090157,0.0041719377,4.147236,2757.0
